Oakville,ON,Canada,370,2,30,402,One container
Paris,ON,Canada,545,,45,590,One container
Parry Sound,ON,Canada,835,,75,910,One container
Peterborough,ON,Canada,665,,55,720,One container
Pickering,ON,Canada,425,3,30,458,One container
Pickle Lake,ON,Canada,790,,545,1335,One container
Picton,ON,Canada,910,,75,985,One container
Plattsville,ON,Canada,535,,55,590,One container
Putnam,ON,Canada,675,,55,730,One container
Port Colborne,ON,Canada,660,,55,715,One container
Port Elgin,ON,Canada,785,,85,870,One container
Port Hope,ON,Canada,585,,45,630,One container
Port Perry,ON,Canada,555,,40,595,One container
Prescott,ON,Canada,,,115,115,One container
Queensville,ON,Canada,455,,40,495,One container
Red Lake,ON,Canada,5410,,545,5955,One container
Rexdale,ON,Canada,330,1,30,361,One container
Richmond Hill,ON,Canada,370,2,30,402,One container
Ridgeway,ON,Canada,675,,55,730,One container
Sarnia,ON,Canada,1000,,85,1085,One container
Sault Ste Marie,ON,Canada,2060,,210,2270,One container
Schomberg,ON,Canada,450,,40,490,One container
Simcoe,ON,Canada,635,,55,690,One container
Sioux Lookout,ON,Canada,4930,,545,5475,One container
St. Catherines,ON,Canada,570,,55,625,One container
St. David's,ON,Canada,595,,55,650,One container
St. George,ON,Canada,560,,55,615,One container
St. Jacob's,ON,Canada,535,,45,580,One container
St. Mary's,ON,Canada,675,,65,740,One container
St. Thomas,ON,Canada,775,,75,850,One container
Stoney Creek,ON,Canada,490,,40,530,One container
Stoufville,ON,Canada,430,,40,470,One container
ST. Clements,ON,Canada,530,,45,575,One container
Stratford,ON,Canada,630,,55,685,One container
Strathroy,ON,Canada,845,,75,920,One container
Sudbury,ON,Canada,1030,,105,1135,One container
Scarborough,ON,Canada,370,2,30,402,One container
Strugeron Falls,ON,Canada,1250,,155,1405,One container
Tecumseh,ON,Canada,1180,,105,1285,One container
Thamesford,ON,Canada,650,,55,705,One container
Thornhill,ON,Canada,370,2,30,402,One container
Thornton,ON,Canada,490,,40,530,One container
Thedford,ON,Canada,940,,75,1015,One container
Thorold,ON,Canada,595,,45,640,One container
Thunder Bay,ON,Canada,3925,,445,4370,One container
Tilbury,ON,Canada,1080,,95,1175,One container
Tillsonburg,ON,Canada,685,,65,750,One container
Timmins,ON,Canada,2085,,225,2310,One container
Toronto,ON,Canada,330,1,30,361,One container
Trenton,ON,Canada,755,,65,820,One container
Unionville,ON,Canada,370,2,30,402,One container
Uxbridge,ON,Canada,530,,40,570,One container
Vaughan,ON,Canada,330,1,30,361,One container
Vineland Station,ON,Canada,540,,55,595,One container
Walenstein,ON,Canada,555,,55,610,One container
Walkerton,ON,Canada,725,,75,800,One container
Waterford,ON,Canada,615,,45,660,One container
Warsaw,ON,Canada,660,,55,715,One container
Waterloo,ON,Canada,550,,45,595,One container
Welland,ON,Canada,625,,55,680,One container
West Hill,ON,Canada,370,2,30,402,One container
Weston,ON,Canada,330,1,30,361,One container
Wheatley,ON,Canada,1100,,105,1205,One container
Whitby,ON,Canada,470,,40,510,One container
Willowdale,ON,Canada,330,1,30,361,One container
Windsor,ON,Canada,1205,,110,1315,One container
Woodbridge,ON,Canada,330,1,30,361,One container
Woodstock,ON,Canada,615,,55,670,One container
Wingham,ON,Canada,755,,65,820,One container
Wellesley,ON,Canada,570,,45,615,One container
Walenstein,ON,Canada,555,,45,600,One container
York,ON,Canada,330,1,30,361,One container
Zurich,ON,Canada,790,,85,875,One container
